;hsa;hsb;hsc;hsl;dis a b;dis a c;dis a l;dis b c;dis b l;dis c l
2095;da wart daʒ chint in gelat;da wart daz chint in geſazt;Da wart dc kint in geſat;;0,11;0,23;1,0;0,22;1,0;1,0
2096;ſi het auch niht vergeʒʒen;Ouch enwas des niht v͛gezzen;Oͮch hate ſi niht uergeſſen;;0,54;0,48;1,0;0,5;1,0;1,0
2097;ſi het gemachet ain eʒʒen;ſin hete chindes ezzen;Da waͤre beraitet kindes eſſen;;0,52;0,57;1,0;0,57;1,0;1,0
2098;daʒ nie chint peʒʒer enpaiʒ;So nie chint bezzers en bæiz;Das kint nie beſſers enbais;;0,39;0,56;1,0;0,54;1,0;1,0
2099;ovf ſinen gemach ſi ſich flaiʒ;vͦf ſiͤn gemach ſi ſih vlæiz;Ʒe ſinem gemache er ſich vlais;;0,27;0,3;1,0;0,4;1,0;1,0
2100;ſi gruͦʒt eʒ minnechliche;Si gruzt ez minechliͤche;Vnd pflag ſin vliſſecliche;;0,24;0,65;1,0;0,65;1,0;1,0
2101;nv begunde eʒ kintlich;nu begund ez chintliͤche;Do begund es kintliche;;0,29;0,23;1,0;0,25;1,0;1,0
2102;wider ſey ſpilen in dem pade;Gegen ir ſpilen indem bade;Gen ir ſpiln in dem bade;;0,32;0,32;1,0;0,15;1,0;1,0
2103;die hende waren im gerade;die hende waren im vil gerade;Die hende giengen im ſo gerade;;0,14;0,3;1,0;0,3;1,0;1,0
2104;vnʒ daʒ eʒ ſchoumen began;Vntz ez ſchovmen began;Daſ dc ſchͮmen began;;0,32;0,4;1,0;0,36;1,0;1,0
2105;der ieſt ovʒ dem vaʒʒe ran;d͛ ieſt oben vͦz dem ſchaffe ran;Der ſchum uſſer dem bade ran;;0,41;0,5;1,0;0,62;1,0;1,0
2106;nv douht ſi daʒ eʒ were;Nv douht ſi daz ez wære;Nu duhte ſi dc waͤre;;0,17;0,48;1,0;0,43;1,0;1,0
2107;guͦt vn̄ hailbere;got vn̄ der heilbære;Der ſchum guͦt vn̄ hailbare;;0,4;0,41;1,0;0,67;1,0;1,0
2108;daʒ man e man eʒ behalten ſolte behalten ſolte;Daz man behalden ſolde;Vnd dc man in behalton ſolte;;0,61;0,54;1,0;0,43;1,0;1,0
2109;ein niweʒ vaz ſi holde;ein ræin vaz ſi holde;Ain raines waſſer ſi holte;;0,23;0,42;1,0;0,38;1,0;1,0
2110;vn̄ huͦb eʒ ab der erde darin;Vnt ſchuͤff ez ab d͛ erde daͬ in;Vnd nam in ab der erde drin;;0,38;0,31;1,0;0,47;1,0;1,0
2111;vn̄ truͦg ez in ir gadem hin;vnt ruͤg iz in ir gadem hin;Si truͦg in in ir gaden hin;;0,14;0,21;1,0;0,26;1,0;1,0
2112;ſi behielt eʒ fleiʒʒechliche;Si behilt ez vleizchliche;vnd behielt vliſſecliche;;0,25;0,39;1,0;0,48;1,0;1,0
2113;deʒ ſi wart frevnden reiche;des wart ſi ſider riche;Des wart ſi ſit uil riche;;0,41;0,59;1,0;0,24;1,0;1,0
2114;Daz kint wart ſlafen geleit;Daz chint wart ſlaffen geleit;das kint wart ſlaffen gelait;;0,1;0,14;1,0;0,17;1,0;1,0
2115;nv waz daz ezzen ouch berait;vnt was daz ezzen bereit;Nu wc ir eſſen oͮch berait;;0,32;0,36;1,0;0,62;1,0;1,0
2116;d͛ wirt ſchvͦf ſedel an ain gras;Der wirt ſchuͤf ſedel vͦf daz gras;Der wirt ſchuͦf ſedel an ain gras;;0,32;0,12;1,0;0,21;1,0;1,0
2117;durch daʒ d͛ luft ſuezze waʒ;da der lufft ſvzze was;In ainen garten da was;;0,46;0,75;1,0;0,73;1,0;1,0
2118;da ſmakte maniger hande chrout;Da ſmachte manig͛ hande chrovt;D͛ luft ſuͤʒe vn̄ mēg͛ hande krut;;0,2;0,65;1,0;0,62;1,0;1,0
2119;ouch waren in ſuͤʒʒer weiſe lout;ouch warē inder wiſe lovt;Oͮch wc in der wiſe lut;;0,28;0,41;1,0;0,35;1,0;1,0
2120;vogelin daʒ perch vn̄ tal;Die vogele daz berg vn̄ tal;Die vogel dc in berg und tal;;0,37;0,54;1,0;0,25;1,0;1,0
2121;ingelichem galm erhal;in gelichem galme gegen hal;Mit gelichem galme wid͛ hal;;0,26;0,33;1,0;0,26;1,0;1,0
2122;der wirt het gelaʒʒen;Der wirt het lazzen;;;0,24;1,0;1,0;1,0;1,0;1,0
2123;poume ʒe guͦter mazzen;bovm ſo zemazzen;;;0,5;1,0;1,0;1,0;1,0;1,0
2124;vn̄ vm den hof gelaitet;Vmbe den hof geleitet;Da der tiſch wc beraitet;;0,3;0,62;1,0;0,62;1,0;1,0
2125;die ſich heten gebraitet;ir eſte gebreitet;Dar wc ain bom gelaitet;;0,46;0,62;1,0;0,65;1,0;1,0
2126;daʒ dem gras dar vnde;Daz dem gras dar vnde;Das dem graſe dar undin;;0,1;0,3;1,0;0,26;1,0;1,0
2127;niht geſchadē chunde;niht geſchaden chvnde;Niht geſchaden kunden;;0,1;0,24;1,0;0,24;1,0;1,0
2128;der ſunnen ſchein vm ain blat;Der ſunnen ſchiͤn wid͛ ein blat;Wint noch ſūne gen ainem blatte;;0,26;0,66;1,0;0,72;1,0;1,0
2129;da waʒ ʒe allen ʒeiten ſchat;da was ze allen ziten ſchat;Da wc ʒe allen ʒiten ſchate;;0,14;0,18;1,0;0,22;1,0;1,0
2130;;Alſo ſtunt der hof zelobe;;;1,0;1,0;1,0;1,0;1,0;1,0
2131;;mit grvnen lovbe was er obe;;;1,0;1,0;1,0;1,0;1,0;1,0
2132;;Wnnechlichen bedaht;;;1,0;1,0;1,0;1,0;1,0;1,0
2133;;de and͛ vnd͛ beſtaht;;;1,0;1,0;1,0;1,0;1,0;1,0
2134;;Mit manig͛ hande blvte;;;1,0;1,0;1,0;1,0;1,0;1,0
2135;;ob mit vngemvte;;;1,0;1,0;1,0;1,0;1,0;1,0
2136;;Ieman dar in wære chomen;;;1,0;1,0;1,0;1,0;1,0;1,0
2137;;div wnne het imz benomen;;;1,0;1,0;1,0;1,0;1,0;1,0
2138;ſin groʒʒ͛ fleiʒ ſchain dar an;Des wirtes vleiz ſchæin dar an;Des wirtes vliʒ der lac h͛ an;;0,4;0,7;1,0;0,4;1,0;1,0
2139;ain brunne durich den garten ran;ein brunne durch den gartē ran;Ain brunne durch den gartē ran;;0,09;0,09;1,0;0,03;1,0;1,0
2140;;lovter vn̄ ræine;Schoͤne vnd raine;;1,0;1,0;1,0;0,47;1,0;1,0
2141;;chiſlinge vn̄ griz ſtæine;kiſeling vnd gries ſtaine;;1,0;1,0;1,0;0,32;1,0;1,0
2142;;Lagen ſo vil inder furh;Lag ſo vil in der wurch;;1,0;1,0;1,0;0,22;1,0;1,0
2143;;i daz d͛ brunne dar durch;Das der brunne da durch;;1,0;1,0;1,0;0,28;1,0;1,0
2144;;Etwa mit noͤten dranch;Mit groͤſſen noͤten gedrank;;1,0;1,0;1,0;0,56;1,0;1,0
2145;;vn̄ recht inſchelle wiͤſe chlanch;Vnd reht in ſchellen wiſe klank;;1,0;1,0;1,0;0,3;1,0;1,0
2146;Nv ſint ſi nid͛ geſeʒʒen;Hie ſint ſi nider geſezzen;nu ſi warent geſeſſen;;0,27;0,54;1,0;0,54;1,0;1,0
2147;der wolte vbel geʒʒen;d͛ da wolt vbel gezzen;Sw͛ da uͥbel wolte geſſen;;0,32;0,68;1,0;0,56;1,0;1,0
2148;wes moht im d͛ gedenchen;Wes mocht im d͛ gedenchen;War moͤhte dar gedenken;;0,08;0,46;1,0;0,4;1,0;1,0
2149;druchſeʒen vn̄ ſchenchē;trvchſæzzen vn̄ ſchenchen;Die truhſaͤſſen und die ſchenken;;0,24;0,59;1,0;0,56;1,0;1,0
2150;die trugen eʒ willechlichen dar;Die trugen ez willechlichen dar;;;0,06;1,0;1,0;1,0;1,0;1,0
2151;ouch nam der wirt ſelbe war;ouch nam d͛ wirt ſelbe war;;;0,07;1,0;1,0;1,0;1,0;1,0
2152;ob denhain gepreſt were;Ob dehein gebreſte da wære;;;0,35;1,0;1,0;1,0;1,0;1,0
2153;choch vn̄ ſpeiſere;choche vn̄ ſpiſære;;;0,17;1,0;1,0;1,0;1,0;1,0
2154;bewarten eʒ als vm ir leib;Die behvtenz als vmb ir liͤp;Die bewaretont es reht alſ umb irn lip;;0,5;0,5;1,0;0,47;1,0;1,0
2155;der wirt vn̄ ouch ſin weip;niwan d͛ wirt vn̄ ſiͤn wiͤp;Wan der wirt vnd ſin wip;;0,59;0,42;1,0;0,3;1,0;1,0
2156;d͛ ampt aller phlagen;Der ampt aller phlagen;Der ampt͛ aller phlagen;;0,14;0,17;1,0;0,04;1,0;1,0
2157;ſi lieʒʒen niht ſich be tragen;ſin wolt niht betragen;Des enwolte ſi niht betraͤgen;;0,47;0,6;1,0;0,34;1,0;1,0
2158;ſwa in d͛ chnehte gebrach;Sit in der;Do in der knehte gebrach;;0,72;0,28;1,0;0,75;1,0;1,0
2159;ſi ſchuͦfen ſelbe den gemach;ſin ſchuffen ſelbe vm den gemach;Si ſchuͦffent ſelb das gemach;;0,16;0,21;1,0;0,31;1,0;1,0
2160;daʒ man ʒehant ſlafen gie;Daz man zehant ſlaffen gie;Alſ ſchiere man dc eſſen lie;;0,15;0,68;1,0;0,68;1,0;1,0
2161;do man daʒ eʒʒen v͛lie;ſo man daz ezzen ver lie;Das man ʒe hant ſchlafen gie;;0,29;0,64;1,0;0,64;1,0;1,0
2162;Nv die geſte ſlafen ſint;Nv die geſte ſlaffen ſint;nu die geſte ſchlaffen ſint;;0,04;0,19;1,0;0,15;1,0;1,0
2163;der wirt vn̄ auch ſin chint;der wirt vnt ſiniv chint;D͛ wirt ſin wip vnd ſinuͥ kint;;0,3;0,57;1,0;0,53;1,0;1,0
2164;giengen an ir gemach;Giei ouch an ir gemach;Fuͦren oͮch an ir gemach;;0,32;0,38;1,0;0,25;1,0;1,0
2165;d͛ wirt zvͦ ſinem weibe ſprach;zv d͛ hovſfroͮwen er ſprach;Der wirt ʒe der hus vroͮwē ſprach;;0,6;0,56;1,0;0,62;1,0;1,0
2166;wis berait da ʒvͦ;Wis gewarnet darzvͤ;Iich ſage dir vroͮwe wc du tuͦ;;0,47;0,73;1,0;0,73;1,0;1,0
2167;daz dv beraiteſt morgen fruͦ;daz dv bereiteſt vil frvͤ;Durch minen willen ſo wis fruͦ;;0,32;0,7;1,0;0,7;1,0;1,0
2168;diſen livten vn̄ mir;Den guten livten vn̄ mir;Schaffe den guͦten luͥten vn̄ mir;;0,29;0,52;1,0;0,36;1,0;1,0
2169;ein pit mangyer;ein piromanig͛;Ain eſſen alſ ich getruͥwe dir;;0,4;0,77;1,0;0,8;1,0;1,0
2170;ich wil mit in enbeizzen;ih wil enbeizzen mit in;Iich wil oͮch enbiſſen mit in;;0,5;0,52;1,0;0,34;1,0;1,0
2171;vn̄ wil ſi dort hin weiſen;vnt wil ſi wiͤſen al dort hin;Vnd wil ſi wiſen dort hin;;0,59;0,58;1,0;0,21;1,0;1,0
2172;vil rehte an ir ſtrazʒe;Vntz an ir rechte ſtrazze;Vffen ir rehten ſtraſſe;;0,64;0,61;1,0;0,36;1,0;1,0
2173;æ daʒ ich ſey laʒʒe;da ih ſivlazze;E ich ſi iemer fuͥr laſſe;;0,47;0,68;1,0;0,68;1,0;1,0
2174;Do ergangen waʒ div naht;Nv was ergangen div naht;do ʒergangen was div naht;;0,42;0,12;1,0;0,4;1,0;1,0
2175;vn̄ ir zeit het volbracht;zvchtichlichen ane braht;Mit ſchoͤnen ʒuͥhten ane braht;;0,64;0,7;1,0;0,5;1,0;1,0
2176;die geſte ſich an leiten;Die geſte ſih an leiten;Sich die geſte an laitent;;0,08;0,48;1,0;0,48;1,0;1,0
2177;dem wirte ſi danch ſeiten;dem wirt ſi genade ſeiten;Genade ſi ſaitent;;0,24;0,6;1,0;0,64;1,0;1,0
2178;vn̄ auch d͛ wirtinne;Vnt ouch d͛ wirtinne;Dem wirte vn̄ der wirtinne;;0,15;0,54;1,0;0,54;1,0;1,0
2179;liebes vn̄ minne;eren vn̄ minne;Des liebes vnd der minne;;0,25;0,38;1,0;0,54;1,0;1,0
2180;der ſi in erʒaiget hate;Der ſi in erzeigte hate;Des er in erʒaiget hate;;0,22;0,17;1,0;0,3;1,0;1,0
2181;der wirt ſp̃ch eyle drate;d͛ wirt ſprach nv ile drate;Nu ile trag her drate;;0,3;0,6;1,0;0,56;1,0;1,0
2182;trak her vn̄ enpeizze wir;Trach her enbeizze wir;Sprach d͛ wirt vnd enbiſſent wir;;0,32;0,53;1,0;0,53;1,0;1,0
2183;welle got daʒ ſus uon mir;nv welle got daz ſo von mir;Got enwelle dc uon mir;;0,26;0,6;1,0;0,56;1,0;1,0
2184;denchayn lieber gaſt var;Dehein mein lieber gaſt var;De kain min lieb͛ gaſt ſo var;;0,3;0,48;1,0;0,31;1,0;1,0
2185;do truͦk div houſvrowe dar;nu truch div hovs frowe dar;Die huſvroͮwe beraite dar;;0,3;0,77;1,0;0,74;1,0;1,0
2186;als ez ir waʒ geraten;Als ez ir was geraten;;;0,1;1,0;1,0;1,0;1,0;1,0
2187;obeʒ vn̄ braten;obz vn̄ braten;;;0,13;1,0;1,0;1,0;1,0;1,0
2188;vn̄ ſwaʒ ſi guͦteſ mohte;;Swc ſi guͦtes habon moͤhte;;1,0;0,58;1,0;1,0;1,0;1,0
2189;daʒ ʒegaher ſpeiſe tohte;;Des ʒe gaͤh͛ ſpiſe dohte;;1,0;0,38;1,0;1,0;1,0;1,0
2190;nv ſi genuͦk geſſen hant;Nv ſi mit vrivden ge ezzent hant;Nu ſi volle geſſen hant;;0,53;0,33;1,0;0,47;1,0;1,0
2191;von dem tyſche ſi ovf ſtant;von dem tiſch ſi ſtant;Uon dem tiſche ſi ſtant;;0,22;0,22;1,0;0,09;1,0;1,0
2192;vn̄ danchten d͛ houſvrowen;Vnt danchten der hovſ frowen;Si genadetont der huſvroͮwen;;0,25;0,5;1,0;0,54;1,0;1,0
2193;and͛ moht man ſchowen;nu mocht man an ir ſchowen;Do moͤht man an ir ſchoͮwen;;0,38;0,44;1,0;0,15;1,0;1,0
2194;weipliche guͤte;Wiͤpliche gvͦte;Die rehten wibes guͤte;;0,33;0,64;1,0;0,73;1,0;1,0
2195;ir ſchaydē ſey ſere muͤte;daz ſchæiden ſi ſere mvͦte;Won ſi dc ſchaiden muͦte;;0,38;0,65;1,0;0,62;1,0;1,0
2196;daʒ ſi taten von ir;Daz ſi taten von ir;Das ſi tatent von ir;;0,11;0,15;1,0;0,1;1,0;1,0
2197;ſi chuſte dich͛ danne ʒwir;ſi chvſte ſiͤ diͤche denne zwir;Si kuſte mere danne ʒwir;;0,29;0,31;1,0;0,48;1,0;1,0
2198;des ſvͤeʒʒen chindeſ mūt;Des ſvzzen chindelineſ munt;Des vil raines kindes munt;;0,37;0,54;1,0;0,48;1,0;1,0
2199;ſi bevalh ſey wol touſentſtunt;nu befulhen ſi ſie wol tovſeſtunt;Nu ergabent ſi ſi hunderſtunt;;0,42;0,67;1,0;0,52;1,0;1,0
2200;dem hohen got An ſine phlege;Dem hæiligem geiſt īſiͤn phlege;Dem hailigen gaiſte in ſine phflege;;0,47;0,34;1,0;0,26;1,0;1,0
2201;der wirt fuͦr mit in Affter wege;d͛ wirt gie mit in vͦfter wege;Der wirt wiſte ſi ʒuͦ dem wege;;0,25;0,5;1,0;0,5;1,0;1,0
2202;Nv het der wirt ʒemaʒʒen;ER het wol die mazze;Wan er hat ʒuͦ der ſtraſſe;;0,54;0,73;1,0;0,65;1,0;1,0
2203;gebowen von der ſtraʒʒen;gehovſet von d͛ ſtrazze;Gehuſet wol ʒe der maſſe;;0,38;0,67;1,0;0,54;1,0;1,0
2204;daz niht dorfte ſorgen;Daz er niht dorfte ſorgen;Das er niht dorfte ſorgon;;0,16;0,24;1,0;0,08;1,0;1,0
2205;er wer da ver borgen;dane wart gar v͛borgen;Es enwaͤre gar u͛borgon;;0,5;0,61;1,0;0,35;1,0;1,0
2206;vn̄ wol behalten ſin beiak;Vn̄ wolde behalten ſin beiach;Sin hus vnd aller ſin betag;;0,17;0,52;1,0;0,59;1,0;1,0
2207;vber ain mos in ein hak;vber ein mos inein bach;Vͥb͛ ain mos durch ainen hag;;0,22;0,46;1,0;0,57;1,0;1,0
2208;verre hin fur einen walt;Dort verre hin fvr ienen walt;;;0,28;1,0;1,0;1,0;1,0;1,0
2209;da eʒ waz wiltlich geſtalt;ez was ſo wiltlich geſtalt;;;0,31;1,0;1,0;1,0;1,0;1,0
2210;des nieman getroute;Daz lvtzel ieman trovte;Vnd da durch in ainen walt;;0,57;0,81;1,0;0,81;1,0;1,0
2211;daʒ ieman da povte;ob dehein menſch da bovte;Es wc ſo wiltlich da geſtalt;;0,52;0,75;1,0;0,71;1,0;1,0
2212;die ſteige warē irreſam;Die ſteige waren irreſam;Vnd die wege ſo irreſan;;0,08;0,54;1,0;0,54;1,0;1,0
2213;ſwer ane gelaite dar quam;ſwer angelæite dar quam;Sw͛ ane gelaite dar kan;;0,12;0,24;1,0;0,39;1,0;1,0
2214;der weſſe niht war er gie;Der enweſſe ſchier war er gie;Der enwiſſete ſchiere war er gie;;0,28;0,38;1,0;0,12;1,0;1,0
2215;der wirt die geſte nie ver lie;d͛ wirt die geſte niht enlie;Der wirt ſi do niht u͛lie;;0,23;0,47;1,0;0,43;1,0;1,0
2216;vnz ſi an ir ſtraze chomen;Vntz ſi wol zewege chamen;;;0,5;1,0;1,0;1,0;1,0;1,0
2217;vrloup ſi do namen;vrlovb ſi dv namen;;;0,17;1,0;1,0;1,0;1,0;1,0
2218;vn̄ ſprachen got ſey mit ev;Si ſprachen wirt got ſei mit iv;E ſi uf ir ſtraſſe kamen;;0,32;0,78;1,0;0,74;1,0;1,0
2219;syrbea vacum dev;domne de vo cum dev;Vrlop ſi do namen;;0,47;0,82;1,0;0,68;1,0;1,0
2220;suſ antwurte in d͛ man;Alſus antwurt im d͛ man;Si ergabent gotte den guͦten man;;0,26;0,62;1,0;0,69;1,0;1,0
2221;ſi fuͦren hin d͛ wirt ſchiet dan I;ſi furen hin vn̄ er gie dan;Er naig in ſi ſchiedent dan;;0,38;0,59;1,0;0,7;1,0;1,0
2222;oſebe tet div ſorge we;Ioſeben tet div ſorge we;ioſeph tet der ʒwivel we;;0,08;0,42;1,0;0,46;1,0;1,0
2223;daʒ er ſo manige weis waʒ æ;daz er ſo manigen wiͤs was e;Dc er ſo maͤnig wiſe was e;;0,21;0,37;1,0;0,29;1,0;1,0
2224;beſwert ind͛ wuͤſte;Beſwæret inder wͤſte;Beſwaͤret in der wuͤſte;;0,3;0,3;1,0;0,17;1,0;1,0
2225;er vorhte daʒ er muͤſte;er vorcht daz er mvͤſte;vnd vorhte dc er ab͛ muͦſte;;0,17;0,37;1,0;0,48;1,0;1,0
2226;noch leiden groʒen vngemach;Noch leiden grozzen vngemach;Dulden groſſen ungemach;;0,11;0,37;1,0;0,36;1,0;1,0
2227;ʒvͦ dem kindelin er ſp̃ch;zv dem chindelin er ſprach;ʒe dem kinde er do ſprach;;0,23;0,36;1,0;0,35;1,0;1,0
2228;nv haſt dv herre wol geſehen;Nv haſtu herre wol geſehen;Herre nu haſtu ſelbe wol geſehen;;0,14;0,41;1,0;0,34;1,0;1,0
2229;waʒ vnſ zelaide iſt geſchehen;waz vns leides iſt geſchhen;was ivns ʒelidenne iſt geſchehen;;0,24;0,25;1,0;0,25;1,0;1,0
2230;vn̄ noch leihte alſam tuͦt;Vn̄ noch vil leiht alſam tvͦt;Vnd oͮch noch waͤtliche tuͦt;;0,24;0,57;1,0;0,62;1,0;1,0
2231;ob eʒ dich herre dunchet guͦt;ob ez dih nv divhte gvͦt;Ob es dich nu duhte guͦt;;0,45;0,38;1,0;0,29;1,0;1,0
2232;bey dem mer ʒe der ʒeſewen hant;Bi dem mere bi d͛ zeſwen hant;Bi dem mere ʒe d͛ ʒeſwun hant;;0,32;0,26;1,0;0,14;1,0;1,0
2233;da ſint ſtete vn̄ guͦte lant;da ſint ſtat vn̄ gutiv lant;Sint ſtaͤte vnd guͤtuͥ lant;;0,18;0,36;1,0;0,37;1,0;1,0
2234;ſo riet ich daʒ wir kerten dar;So riet ih daz wir cherten dar;So riete ich dc wir kertin dar;;0,17;0,17;1,0;0,23;1,0;1,0
2235;durch daʒ wir die leipnar;durch daz wir die leipnar;So duͥ dc wir die lipnar;;0,04;0,36;1,0;0,36;1,0;1,0
2236;vmbe rehten chauf da funden;Vmb rechten chovf da fvnden;Vmb rehten koͮf da fundin;;0,22;0,26;1,0;0,22;1,0;1,0
2237;vn̄ niht ver miſſen kunden;vnt niht v͛miſſen chvnden;Vnd niht geuaͤlen kundin;;0,27;0,38;1,0;0,48;1,0;1,0
2238;ſwie ſchire wir varen wolden;Swi ſæine wir varen wolden;Swie ſanfte wir warn woͤltin;;0,18;0,36;1,0;0,36;1,0;1,0
2239;alle naht wir ſolden;alle naht wir dannoch ſolden;Dc wir ie des nahtes ſoltin;;0,29;0,67;1,0;0,71;1,0;1,0
2240;beleiben wol da levte ſint;Beleiben wol da livte ſint;Beliben da die luͥte ſint;;0,08;0,35;1,0;0,31;1,0;1,0
2241;ʒe Ioſeph ſprach daʒ kint;nu antwurt im daz chint;Sus aͤntwrte im das kint;;0,72;0,68;1,0;0,33;1,0;1,0
2242;din ſorge iſt vil manichvalt;Ioſeb din ſorge iſt manicvalt;Ioſeph din ſorg iſt maͤnicwalt;;0,38;0,5;1,0;0,17;1,0;1,0
2243;vn̄ waiſt doch wol ich han gewalt;vn̄ wæiſt doh daz ih han gewalt;Nu waiſt du doch wol ich hā gew̃;;0,18;0,3;1,0;0,48;1,0;1,0
2244;den wek ʒe churʒen ſwan ich wil;Den wæch zechvrtzen ob ih wil;Den weg ʒe kuͥrʒēne ſwē ich wil;;0,45;0,27;1,0;0,52;1,0;1,0
2245;dreiʒek tagewaide zil;dreizch tagwæide zil;Driʒig taͤgewade ʒil;;0,24;0,33;1,0;0,5;1,0;1,0
2246;var wir noch ſaumft bey der naht;Var wir ſamfteͤ noh vor nahte;Fuͤren wir noch ſanfte vor d͛ naht;;0,47;0,38;1,0;0,53;1,0;1,0
2247;ſo dv noch wol geſehen maht;ſo dv iezv chieſen ſelbe mahte;Dc du wol ieʒunt kieſen maht;;0,5;0,57;1,0;0,6;1,0;1,0
2248;die næhſten herberge hie ʒehant;Du naheſt dem b͛ge hie zehant;Die naͤhſten b͛ge hie ʒehant;;0,42;0,26;1,0;0,28;1,0;1,0
2249;ſchieden die wuͤſte vn̄ daʒ lant;ſchowe die wſt vn̄ daz lant;Schaident diſe wildi vn̄ dc lant;;0,25;0,38;1,0;0,41;1,0;1,0
2250;daʒ dir der engel nande;Daz dir engel nante;Das dir der engel nande;;0,3;0,09;1,0;0,26;1,0;1,0
2251;do er dich mit mir ſande I;do er dih mit mir ſante;Do er dich mit mir ſande;;0,15;0,12;1,0;0,12;1,0;1,0
2252;oſeph waʒ d͛ rede fro;Der rede wart er harte vro;Des wc ioſeph vil vro;;0,62;0,81;1,0;0,62;1,0;1,0
2253;durch daʒ gepirge kert er do;durch daz gebirge chert er do;Durch dc gebirge kert er do;;0,14;0,14;1,0;0,17;1,0;1,0
2254;ʒe splene in die houbet ſtat;Zeſplene in die hovbtſtat;ʒe ẏſpen in die hoͮbetſtat;;0,21;0,25;1,0;0,3;1,0;1,0
2255;da in niman ʒe houſe bat;da in ein man zehovſe bat;Nieman in ʒe huſe bat;;0,24;0,38;1,0;0,52;1,0;1,0
2256;wan in da nieman bechande;Want man ſiͤn niht erchande;Wan in oͮch nieman erkande;;0,52;0,31;1,0;0,48;1,0;1,0
2257;do weſſe er niht wa er wande;nv enweſſ er war baz lande;Nu daht er wa er bas lande;;0,5;0,61;1,0;0,42;1,0;1,0
2258;wan ʒvͦ dvͦ d͛ haiden templo;Dann inder hæiden templo;Danne in der haiden templo;;0,43;0,36;1,0;0,12;1,0;1,0
2259;dar in ʒoch er ſich do;dar in zoh er ſih do;Dar in ʒoh er ſich do;;0,14;0,09;1,0;0,14;1,0;1,0
2260;mit allem ſinem geverte;Mit allem ſiͤnem geverte;mit allem geuerte;;0,08;0,3;1,0;0,38;1,0;1,0
2261;wan im daʒ nieman werte;want imz niemen werte;wan im dc nieman werte;;0,26;0,09;1,0;0,23;1,0;1,0
2262;Nv het auch manige zeit da;Nv het manige zit da;Da hat der tieuel lange da;;0,23;0,69;1,0;0,62;1,0;1,0
2263;gebowet als auch and͛ſwa;gebrvvet als ouh ander ſwa;Maͤnig geʒiert alſ oͮch and͛ſwa;;0,31;0,45;1,0;0,55;1,0;1,0
2264;d͛ layde tiefel ſinen ſpot;Der læide tivel ſeinen ſpot;Gebruͥwet groͤſlich ſinen ſpot;;0,3;0,53;1,0;0,57;1,0;1,0
2265;drev hundert vn̄ fumfʒik abgot;driv hundert vn̄ vierzich abgot;Fuͥnfʒehen vn̄ druͥhūd͛t apgot;;0,26;0,68;1,0;0,71;1,0;1,0
2266;waren ovf geſetʒet;Waren im da vͦf geſezzet;warent im da uf geſeʒʒet;;0,42;0,38;1,0;0,25;1,0;1,0
2267;da wart er an geletʒet;da wart er an gelezzet;An den wart er geleʒʒet;;0,09;0,39;1,0;0,43;1,0;1,0
2268;als eʒ im weilen auch ergie;Als ez im da vor er gie;Alſ es im oͮch da vor ergie;;0,48;0,52;1,0;0,3;1,0;1,0
2269;do in got von himel lie;da in da got durch ſein hohvart lie;Do in ivnſ͛ h͛ʒegot lie;;0,54;0,57;1,0;0,63;1,0;1,0
2270;mit ſinen not geſtallen;Mit ſeinen not geſtallen;Mit ſinen not geſtallen;;0,08;0,04;1,0;0,04;1,0;1,0
2271;in daʒ abgrunde vallen;indaz abgrvnde vallen;In dc apgruͥnde vallen;;0,14;0,23;1,0;0,32;1,0;1,0
2272;vn̄ ʒeſinchen immer mer;Vnt vallent imm͛ mere;Vnd oͮch vallet iemermere;;0,57;0,6;1,0;0,4;1,0;1,0
2273;alſo nam hie ſin ere;alſo man ſein ere;Suſ nam oͮch hie ſin ere;;0,3;0,33;1,0;0,58;1,0;1,0
2274;ainen hertichlichen val;Einen ængeſtlichen val;Ainen gahen ſtiklichen val;;0,35;0,31;1,0;0,31;1,0;1,0
2275;die goter ſturʒten her ʒe tal;die got ſtiezze her zetal;Duͥ apgot muͦʒen hin ʒetal;;0,31;0,48;1,0;0,58;1,0;1,0
2276;mit alle ovf den eſtrich;Nah ein ander vͦf den eſter rich;Vallen vf den eſtrich;;0,44;0,25;1,0;0,44;1,0;1,0
2277;ſi muͦſten alle gemainlich;ſi mvſen aller tægelich;Vnd aͤller taͤgelich;;0,38;0,69;1,0;0,48;1,0;1,0
2278;ʒe ſtuken gar ʒerbrechen;Ze ſtucheliͤnen brechen;Ʒe ſtukelinen brechen;;0,5;0,38;1,0;0,17;1,0;1,0
2279;als ob ſi ſolten ſprechen;als ob ſi ſolten ſprechen;Alſ ob ſi woͤltin ſprechen;;0,0;0,19;1,0;0,19;1,0;1,0
2280;ſeit der ware got iſt chomen;Seit dær ware got iſt chomen;Sit der Gewaͤre got iſt komen;;0,07;0,24;1,0;0,24;1,0;1,0
2281;ſo hat ende genomen;nv hat ende genomen;So hat vrlup genomen;;0,11;0,3;1,0;0,35;1,0;1,0
2282;vnſer valſche gothait;Vnſer valſchiv gotheit;Vͥnſer vaͤlſchuͥ gothait;;0,18;0,21;1,0;0,21;1,0;1,0
2283;nv wart auch in die ſtat geſeit;nu wart ouh indie ſtat geſeit;Do dis in die ſtat wart geſait;;0,13;0,55;1,0;0,57;1,0;1,0
